ds,y,unique_id
541,818.6,platinum
542,826.9,platinum
543,836.1,platinum
544,827.8,platinum
545,827.4,platinum
546,825.3,platinum
547,825.2,platinum
548,825.3,platinum
549,829.3,platinum
550,824.5,platinum
551,841.9,platinum
552,841.8,platinum
553,843.3,platinum
554,846.8,platinum
555,845.2,platinum
556,835.1,platinum
557,831.5,platinum
558,833.9,platinum
559,833.8,platinum
560,824.0,platinum
561,835.1,platinum
562,834.6,platinum
563,829.6,platinum
564,836.0,platinum
565,835.7,platinum
566,836.6,platinum
567,838.4,platinum
568,841.8,platinum
569,867.8,platinum
570,872.1,platinum
571,873.9,platinum
572,867.5,platinum
573,873.2,platinum
574,877.0,platinum
575,867.2,platinum
576,855.6,platinum
577,857.3,platinum
578,845.0,platinum
579,843.7,platinum
580,838.3,platinum
581,844.3,platinum
582,848.0,platinum
583,848.0,platinum
584,855.7,platinum
585,844.3,platinum
586,849.1,platinum
587,850.0,platinum
588,843.1,platinum
589,843.8,platinum
590,846.5,platinum
591,836.5,platinum
592,827.8,platinum
593,822.2,platinum
594,801.0,platinum
595,807.9,platinum
596,808.5,platinum
597,804.55,platinum
598,802.05,platinum
599,789.8,platinum
600,794.3,platinum
601,793.1,platinum
602,783.75,platinum
603,787.35,platinum
604,804.65,platinum
605,796.8,platinum
606,787.35,platinum
607,787.35,platinum
608,793.1,platinum
609,792.9,platinum
610,787.7,platinum
611,796.4,platinum
612,789.05,platinum
613,791.95,platinum
614,788.4,platinum
615,788.9,platinum
616,799.25,platinum
617,795.5,platinum
618,790.25,platinum
619,796.2,platinum
620,801.4,platinum
621,800.6,platinum
622,798.7,platinum
623,804.0,platinum
624,826.7,platinum
625,824.85,platinum
626,826.4,platinum
627,825.45,platinum
628,829.65,platinum
629,823.9,platinum
630,813.8,platinum
631,814.3,platinum
632,808.7,platinum
633,803.8,platinum
634,809.35,platinum
635,812.4,platinum
636,800.3,platinum
637,801.35,platinum
638,798.45,platinum
639,794.0,platinum
640,797.55,platinum
641,804.6,platinum
642,820.65,platinum
643,818.4,platinum
644,814.0,platinum
645,816.3,platinum
646,819.6,platinum
647,823.0,platinum
648,825.9,platinum
649,826.0,platinum
650,822.5,platinum
651,821.35,platinum
652,807.1,platinum
653,800.8,platinum
654,802.2,platinum
655,802.3,platinum
656,789.75,platinum
657,793.55,platinum
658,788.4,platinum
659,788.75,platinum
660,808.55,platinum
661,806.6,platinum
662,808.75,platinum
663,821.4,platinum
664,830.4,platinum
665,826.9,platinum
666,845.45,platinum
667,846.8,platinum
668,856.8,platinum
669,863.1,platinum
670,871.85,platinum
671,874.1,platinum
672,862.2,platinum
673,863.7,platinum
674,840.6,platinum
675,839.1,platinum
676,829.7,platinum
677,816.5,platinum
678,818.85,platinum
679,818.15,platinum
680,820.65,platinum
681,835.9,platinum
682,842.05,platinum
683,825.4,platinum
684,831.8,platinum
685,830.55,platinum
686,836.2,platinum
687,851.7,platinum
688,868.5,platinum
689,860.35,platinum
690,847.95,platinum
691,849.95,platinum
692,866.6,platinum
693,865.3,platinum
694,859.9,platinum
695,849.25,platinum
696,853.4,platinum
697,856.3,platinum
698,855.7,platinum
699,856.0,platinum
700,875.5,platinum
701,902.05,platinum
702,905.65,platinum
703,908.75,platinum
704,910.05,platinum
705,891.6,platinum
706,907.95,platinum
707,897.4,platinum
708,895.35,platinum
709,896.4,platinum
710,891.65,platinum
711,885.2,platinum
712,892.7,platinum
713,907.4,platinum
714,907.0,platinum
715,907.1,platinum
716,904.85,platinum
717,893.1,platinum
718,888.6,platinum
719,890.65,platinum
720,902.8,platinum
721,904.1,platinum
722,901.6,platinum
723,891.4,platinum
724,872.2,platinum
725,853.65,platinum
726,874.7,platinum
727,864.8,platinum
728,884.95,platinum
729,873.15,platinum
730,864.4,platinum
731,854.0,platinum
732,867.75,platinum
733,858.9,platinum
734,860.85,platinum
735,859.7,platinum
736,846.8,platinum
737,835.3,platinum
738,819.55,platinum
739,822.45,platinum
740,816.5,platinum
741,817.5,platinum
742,803.5,platinum
743,801.15,platinum
744,805.5,platinum
745,806.7,platinum
746,813.1,platinum
747,800.2,platinum
748,792.2,platinum
749,791.65,platinum
750,792.8,platinum
751,794.75,platinum
752,823.05,platinum
753,820.75,platinum
754,806.65,platinum
755,803.25,platinum
756,806.15,platinum
757,809.55,platinum
758,807.75,platinum
759,815.2,platinum
760,811.35,platinum
761,812.7,platinum
762,803.6,platinum
763,801.7,platinum
764,792.65,platinum
765,803.4,platinum
766,812.55,platinum
767,810.25,platinum
768,809.45,platinum
769,817.95,platinum
770,820.05,platinum
771,811.25,platinum
772,821.45,platinum
773,821.95,platinum
774,839.6,platinum
775,834.4,platinum
776,835.75,platinum
777,837.75,platinum
778,843.85,platinum
779,840.35,platinum
780,813.8,platinum
781,812.35,platinum
782,816.6,platinum
783,813.6,platinum
784,831.4,platinum
785,827.4,platinum
786,834.25,platinum
787,834.7,platinum
788,845.7,platinum
789,844.2,platinum
790,848.85,platinum
791,854.3,platinum
792,849.45,platinum
793,850.7,platinum
794,850.9,platinum
795,859.9,platinum
796,880.95,platinum
797,871.3,platinum
798,868.6,platinum
799,870.1,platinum
800,883.1,platinum
801,878.8,platinum
802,868.6,platinum
803,856.85,platinum
804,848.2,platinum
805,848.95,platinum
806,860.5,platinum
807,855.55,platinum
808,868.85,platinum
809,870.7,platinum
810,864.35,platinum
811,864.5,platinum
812,862.15,platinum
813,857.8,platinum
814,848.65,platinum
815,842.75,platinum
816,851.4,platinum
817,851.9,platinum
818,853.1,platinum
819,850.15,platinum
820,855.95,platinum
821,860.8,platinum
822,860.25,platinum
823,864.1,platinum
824,858.75,platinum
825,870.3,platinum
826,901.8,platinum
827,920.75,platinum
828,936.6,platinum
829,940.45,platinum
830,933.25,platinum
831,964.5,platinum
832,991.3,platinum
833,962.2,platinum
834,953.3,platinum
835,950.45,platinum
836,946.1,platinum
837,934.85,platinum
838,948.15,platinum
839,952.25,platinum
840,950.65,platinum
841,958.75,platinum
842,938.2,platinum
843,940.5,platinum
844,925.3,platinum
845,940.25,platinum
846,947.3,platinum
847,950.9,platinum
848,959.25,platinum
849,957.05,platinum
850,928.3,platinum
851,932.8,platinum
852,929.6,platinum
853,938.9,platinum
854,892.15,platinum
855,884.35,platinum
856,893.9,platinum
857,894.45,platinum
858,885.45,platinum
859,884.9,platinum
860,881.85,platinum
861,899.05,platinum
862,895.95,platinum
863,904.25,platinum
864,901.0,platinum
865,897.65,platinum
866,898.6,platinum
867,888.55,platinum
868,889.85,platinum
869,891.7,platinum
870,896.5,platinum
871,895.45,platinum
872,891.6,platinum
873,896.7,platinum
874,922.2,platinum
875,927.2,platinum
876,930.55,platinum
877,930.95,platinum
878,920.35,platinum
879,924.6,platinum
880,928.05,platinum
